"__typename","action","amount","assetPriceUSD","id","reserve","timestamp","txHash","user"
"Repay","Repay","2998221371","1.00000849","8104139:0:0x2dbdd0ab7c98870bd9be18fbebad036161d84dc431578e26b9574ea5a0b0bfd8:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647607663,"0x2dbdd0ab7c98870bd9be18fbebad036161d84dc431578e26b9574ea5a0b0bfd8","{""__typename"":""User"",""id"":""0x58fc8a5d2bc89dc1a353537271a217a6f64c92a4""}"
"Repay","Repay","1001789731","1.00000849","8104214:0:0x1715a25c41bf54555cb7f74df1df943b6e9742eaef2fbfe8492ff1a8801e4608:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647607685,"0x1715a25c41bf54555cb7f74df1df943b6e9742eaef2fbfe8492ff1a8801e4608","{""__typename"":""User"",""id"":""0x58fc8a5d2bc89dc1a353537271a217a6f64c92a4""}"
"Repay","Repay","2300000000000000000000","1.001","8111091:0:0xfe841b3623e6c78245834c08f2730877a4888fb2af64e43a2ae20250c09c17c3:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}",1647617636,"0xfe841b3623e6c78245834c08f2730877a4888fb2af64e43a2ae20250c09c17c3","{""__typename"":""User"",""id"":""0xd74803d8b40c6b19f7c0dbc503e4a1c21814d6d0""}"
"Repay","Repay","12622961417","1.00000849","8117946:0:0x86609e1bbbaad66765459576ee7241230ef1b72fe7db0798f31d0aa915aca4a0:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647626930,"0x86609e1bbbaad66765459576ee7241230ef1b72fe7db0798f31d0aa915aca4a0","{""__typename"":""User"",""id"":""0xfba206e73709f614e5a85aff27a98692d4f3c579""}"
"Repay","Repay","2200000000","1.001","8129224:0:0x760e5ff1f5f97e11333608e8825d2275e64098d2c18c1a269cbc25b56e68b993:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}",1647646347,"0x760e5ff1f5f97e11333608e8825d2275e64098d2c18c1a269cbc25b56e68b993","{""__typename"":""User"",""id"":""0x5641695cfe009f248053162188f0f909f9654ed5""}"
"Repay","Repay","317922","1.001","8129359:0:0x230b93d169a3a67bd468c75a76def883695eaa00b485463d2d0a7ae3bf564168:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}",1647646631,"0x230b93d169a3a67bd468c75a76def883695eaa00b485463d2d0a7ae3bf564168","{""__typename"":""User"",""id"":""0x5641695cfe009f248053162188f0f909f9654ed5""}"
"Repay","Repay","47008669559652403143","0.99992599","8143585:0:0x789e2b733fe613fdb78ecec175bc8ff2c584ae5289c76f82ca771adb79278b98:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}",1647673514,"0x789e2b733fe613fdb78ecec175bc8ff2c584ae5289c76f82ca771adb79278b98","{""__typename"":""User"",""id"":""0xee6c6f7d9de14c0bddaf8f29d8a126fd11cba2ed""}"
"Repay","Repay","1000000000","0.99993654","8151277:0:0xee60386e39dff789fe9ad94e5d25219aa72173b1a210e86fcd6e5cb3a0019d1a:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647689757,"0xee60386e39dff789fe9ad94e5d25219aa72173b1a210e86fcd6e5cb3a0019d1a","{""__typename"":""User"",""id"":""0x6f99706afeec0f2a1328924673d822aa1ffc0426""}"
"Repay","Repay","252","0.99993654","8151329:0:0x8057565f6d7b6103819ebf37661ec9fade3c11352329daeca5f98db2ac4753ba:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647689883,"0x8057565f6d7b6103819ebf37661ec9fade3c11352329daeca5f98db2ac4753ba","{""__typename"":""User"",""id"":""0x6f99706afeec0f2a1328924673d822aa1ffc0426""}"
"Repay","Repay","102726661","0.99993654","8152710:0:0xcd859fb82cbabb6bba3ae84e5af38bab440ddfc4d16126dfcf3cd8579c15d7a6:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647692477,"0xcd859fb82cbabb6bba3ae84e5af38bab440ddfc4d16126dfcf3cd8579c15d7a6","{""__typename"":""User"",""id"":""0x7b7736a2c07c4332ffad45a039d2117ae15e3f66""}"
