"__typename","action","amount","assetPriceUSD","borrowRate","borrowRateMode","id","reserve","stableTokenDebt","timestamp","txHash","user","variableTokenDebt"
"Borrow","Borrow","550000000","1.0002021","2012373513181101724512872",2,"8016910:0:0x3097601725ebf543ae232dcbe339d1e39e6199c5c5fe8e0aa6ac05ba6f141fa6:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467703,"0x3097601725ebf543ae232dcbe339d1e39e6199c5c5fe8e0aa6ac05ba6f141fa6","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","6099997296"
"Borrow","Borrow","525000000","1.0002021","2017831337138009022273986",2,"8016968:0:0x6a7cb98b5392b98916f0e1c6f0ac97e59a09b370474cf499e1db13b55a032163:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467782,"0x6a7cb98b5392b98916f0e1c6f0ac97e59a09b370474cf499e1db13b55a032163","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","6624997025"
"Borrow","Borrow","500000000","0.99998202","2023029266841398514511681",2,"8017037:0:0x4ce8846b3e7edd8f4cf8fda565f00b310efdbed0e56318254faf677486622b3e:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467874,"0x4ce8846b3e7edd8f4cf8fda565f00b310efdbed0e56318254faf677486622b3e","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","7124996764"
"Borrow","Borrow","10000000000000000000","0.99981495","67504085227311289984291885",1,"8017103:0:0x1425e0616f049786c6c57415887aa6f5baf6a83cadbb5db89a6e57938fc19d18:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}","10000000000000000000",1647467930,"0x1425e0616f049786c6c57415887aa6f5baf6a83cadbb5db89a6e57938fc19d18","{""__typename"":""User"",""id"":""0x35f53d61440e81d8fcdfe26691df09d4b9bbb038""}","0"
"Borrow","Borrow","500000000","0.99998202","2028227192136897455632404",2,"8017117:0:0xbf94ffb32671668274a345ae564e3fb81fdf79278f6828ca3930897d0d1a99c7:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467930,"0xbf94ffb32671668274a345ae564e3fb81fdf79278f6828ca3930897d0d1a99c7","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","7624996501"
"Borrow","Borrow","450000000","0.99998202","2032905337330571308677320",2,"8017206:0:0xb64e8318ff63f54702c75fc2e251eaa6884b5cd84f96922dc0b892bc0daeebac:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647468080,"0xb64e8318ff63f54702c75fc2e251eaa6884b5cd84f96922dc0b892bc0daeebac","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","8074996260"
"Borrow","Borrow","450000000","0.99998202","2037583474356597616608754",2,"8017299:0:0x4d7f890ce7119a2e06f6dac8b215935d81f09ef942d2fa29f1696ab18c2da4cb:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647468164,"0x4d7f890ce7119a2e06f6dac8b215935d81f09ef942d2fa29f1696ab18c2da4cb","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","8524996017"
"Borrow","Borrow","450000000","0.99998202","2042261619969414510255578",2,"8017385:0:0x5ee3ce8da312ef059208f3a84d1f273e6037569bd22ee1c0b1e17bbc9a84ab4a:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647468316,"0x5ee3ce8da312ef059208f3a84d1f273e6037569bd22ee1c0b1e17bbc9a84ab4a","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","8974995769"
"Borrow","Borrow","435000000","0.99998202","2046783819151691474735590",2,"8017496:0:0xf7fcabd6104bb1329a1d037f67585b4cec6a089662f869814a51645f689c37e0:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647468397,"0xf7fcabd6104bb1329a1d037f67585b4cec6a089662f869814a51645f689c37e0","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","9409995527"
"Borrow","Borrow","3820000000","0.99998202","2086496008289262241649254",2,"8017994:0:0x362d4ab54fa7470bc474a97b422b0e26850b9da543f2e3ee74525a3b3046b9cb:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647469131,"0x362d4ab54fa7470bc474a97b422b0e26850b9da543f2e3ee74525a3b3046b9cb","{""__typename"":""User"",""id"":""0xe078a5b4f4ba2aebdc6bc982650ebff06136357b""}","3819997695"
